table_name	column_name	system_type_id	user_type_id	max_length	precision	scale	is_nullable	is_ansi_padded
AttributeType	Reference3	231	231	508	0	0	1	1
AttributeType	Reference4	231	231	508	0	0	1	1
AttributeType	Reference5	231	231	508	0	0	1	1
AttributeType	AttributeTypeCode	231	231	100	0	0	1	1
AttributeTypeGroup	AttributeTypeGroupID	52	52	2	5	0	0	0
AttributeTypeGroup	Name	231	231	508	0	0	0	1
AttributeTypeGroup	Description	231	231	508	0	0	1	1
AttributeTypeGroup	AttributeTypeGroupCode	231	231	100	0	0	1	1
AVAttribute	AcquisitionVariantID	52	52	2	5	0	0	0
AVAttribute	TargetSampleSize	56	56	4	10	0	0	0
AVAttribute	RfAttrStudyTypeID	48	48	1	3	0	0	0
AVAttribute	Instructions	231	231	-1	0	0	1	1
AVAttribute	ImageURI	231	231	-1	0	0	1	1
AVAttribute	NoHeads	52	52	2	5	0	0	0
AVAttribute	RfSourceID	48	48	1	3	0	0	0
AVAttribute	DataDeviceID	56	56	4	10	0	0	0
AVAttribute	DeviceArgs	231	231	508	0	0	1	1
AVAttribute	DeviceOutput	231	231	100	0	0	1	1
AVDataEntryOptions	AcquisitionVariantID	52	52	2	5	0	0	0
AVDataEntryOptions	RfVarGridStyleID	52	52	2	5	0	0	0
AVDataEntryOptions	IsPITCols	48	48	1	3	0	0	0
AVDataEntryOptions	IsPISNoCol	48	48	1	3	0	0	0
AVDataEntryOptions	RfAttrGridStyleID	52	52	2	5	0	0	0
AVDataEntryOptions	IsStepGrid	48	48	1	3	0	0	0
AVDataEntryOptions	IsAttrSkipStep	48	48	1	3	0	0	0
AVDataEntryOptions	ShowAttrInfoTip	48	48	1	3	0	0	0
AVDataEntryOptions	UseAttrImagePicker	48	48	1	3	0	0	0
AVDataEntryOptions	AttrGridContextMenu	48	48	1	3	0	0	0
AVDataEntryOptions	IsPISerial	48	48	1	3	0	0	0
AVDataEntryOptions	AutoGenerateSerialNo	48	48	1	3	0	0	0
AVDataEntryOptions	PITSampling	52	52	2	5	0	0	0
AVDataEntryOptions	MSTSampling	52	52	2	5	0	0	0
AVDataEntryOptions	VAInterlace	52	52	2	5	0	0	0
AVDataEntryOptions	IsExplicitHS	52	52	2	5	0	0	0
AVDataEntryOptions	SampleSizeMode	52	52	2	5	0	0	0
AVDataEntryOptions	OnDataCommitGoTo	167	167	50	0	0	0	1
AVDataEntryOptions	IsDisableOOSWarnings	48	48	1	3	0	0	0
AVDataEntryOptions	StepEditPolicy	52	52	2	5	0	0	0
AVDataEntryOptions	DisableKeyboardOverride	48	48	1	3	0	0	0
AVDataEntryOptions	ChainToStopped	52	52	2	5	0	0	0
AVDataEntryOptions	DisplayPlan	167	167	3000	0	0	1	1
AVDataEntryOptions	AttrPassFailDefault	48	48	1	3	0	0	0
AVDataEntryOptions	VariableSaveMode	48	48	1	3	0	0	0
AVDataEntryOptions	AttrCellClick	48	48	1	3	0	0	0
BOMExplosion	PartID	56	56	4	10	0	0	0
BOMExplosion	ParentPartID	56	56	4	10	0	0	0
BOMExplosion	SubPartID	56	56	4	10	0	1	0
BOMExplosion	BOMItemID	56	56	4	10	0	0	0
BOMExplosion	SubPartQuantityTotal	62	62	8	53	0	1	0
BOMExplosion	SubPartUnitID	56	56	4	10	0	1	0
BOMExplosion	RfInvPackTraceabilityID	52	52	2	5	0	0	0
BOMExplosion	Lvl	56	56	4	10	0	0	0
BOMExplosion	SortOrder	167	167	254	0	0	0	1
BOMExplosion	SubPartQuantity	62	62	8	53	0	1	0
BOMExplosion	BOMVariantID	56	56	4	10	0	0	0
BOMExplosion	Instructions	231	231	-1	0	0	1	1
BOMExplosion	RfBOMItemTypeID	48	48	1	3	0	0	0
BOMExplosion	IsAllowExceedBOMQty	48	48	1	3	0	0	0
BOMItem	BOMItemID	56	56	4	10	0	0	0
BOMItem	BOMVariantID	56	56	4	10	0	0	0
BOMItem	PartID	56	56	4	10	0	0	0
BOMItem	SubPartID	56	56	4	10	0	1	0
BOMItem	SubPartQuantity	62	62	8	53	0	1	0
BOMItem	SubPartUnitID	52	52	2	5	0	1	0
