db,table,column,type,length,precision,scale,nullable,padded
dbo,AssetExplosion,Lvl,int,4,10,0,1,0
dbo,AssetExplosion,SortOrder,varchar,254,0,0,1,1
dbo,AssetExplosion,Comments,nvarchar,508,0,0,1,1
dbo,AssetExplosion,AssetLevelID,int,4,10,0,1,0
dbo,AssetLevel,AssetLevelID,int,4,10,0,0,0
dbo,AssetLevel,AssetID,int,4,10,0,0,0
dbo,AssetLevel,SubAssetID,int,4,10,0,0,0
dbo,AssetLevel,Sequence,varchar,10,0,0,0,1
dbo,AssetLevel,Comments,nvarchar,508,0,0,1,1
dbo,AssetLevel,FromDT,datetime,8,23,3,0,0
dbo,Attribute,AttributeID,int,4,10,0,0,0
dbo,Attribute,AttributeTypeID,smallint,2,5,0,0,0
dbo,Attribute,ProductID,int,4,10,0,0,0
dbo,AttributeType,AttributeTypeID,smallint,2,5,0,0,0
dbo,AttributeType,ProductTypeID,smallint,2,5,0,0,0
dbo,AttributeType,Name,nvarchar,508,0,0,0,1
dbo,AttributeType,Description,nvarchar,508,0,0,1,1
dbo,AttributeType,ImageURI,nvarchar,508,0,0,1,1
dbo,AttributeType,RfAttributeClassID,tinyint,1,3,0,0,0
dbo,AttributeType,IsPassFail,tinyint,1,3,0,0,0
dbo,AttributeType,IsRaiseCA,tinyint,1,3,0,0,0
dbo,AttributeType,LikelyCauses,nvarchar,508,0,0,1,1
dbo,AttributeType,Impact,nvarchar,508,0,0,1,1
dbo,AttributeType,Weighting,float,8,53,0,0,0
dbo,AttributeType,Reference1,nvarchar,508,0,0,1,1
dbo,AttributeType,Reference2,nvarchar,508,0,0,1,1
dbo,AttributeType,Reference3,nvarchar,508,0,0,1,1
dbo,AttributeType,Reference4,nvarchar,508,0,0,1,1
dbo,AttributeType,Reference5,nvarchar,508,0,0,1,1
dbo,AttributeType,AttributeTypeCode,nvarchar,100,0,0,1,1
dbo,AttributeTypeGroup,AttributeTypeGroupID,smallint,2,5,0,0,0
dbo,AttributeTypeGroup,Name,nvarchar,508,0,0,0,1
dbo,AttributeTypeGroup,Description,nvarchar,508,0,0,1,1
dbo,AttributeTypeGroup,AttributeTypeGroupCode,nvarchar,100,0,0,1,1
dbo,AVAttribute,AcquisitionVariantID,smallint,2,5,0,0,0
dbo,AVAttribute,TargetSampleSize,int,4,10,0,0,0
dbo,AVAttribute,RfAttrStudyTypeID,tinyint,1,3,0,0,0
dbo,AVAttribute,Instructions,nvarchar,-1,0,0,1,1
